nspins,system type,operator,saturation value,Nkry
6,nonintg,X1,1744.5819302367624,4033
6,nonintg,X2,1574.7947105525654,4033
6,nonintg,X3,1606.9874198942057,4033
6,nonintg,Z1,1871.397991031051,4033
6,nonintg,Z2,1767.2053234600583,4033
6,nonintg,Z3,1805.7933401550397,4033
