nspins,system type,operator,saturation value,Nkry
6,intg,X1,1307.852955003164,4033
6,intg,X2,1331.6731530144298,4033
6,intg,X3,1209.8587543988197,4033
6,intg,Z1,939.8696428287869,4033
6,intg,Z2,864.7213659929346,4033
6,intg,Z3,877.6512111191411,4033
