nspins,system type,operator,saturation value,Nkry
7,intg,X1,4680.544624970941,16257
7,intg,X2,5025.585795602574,16257
7,intg,X3,4732.721769037515,16257
7,intg,Z1,3222.1439815154486,16257
7,intg,Z2,3121.046081886884,16257
7,intg,Z3,3250.721999544593,16257
