nspins,system type,operator,saturation value,Nkry
5,nonintg,1s,495.9999999999995,993
5,nonintg,X1,434.2582637919361,993
5,nonintg,X2,366.82339320410927,993
5,nonintg,Z1,463.2482329574335,993
5,nonintg,Z2,424.74560484385745,993
