nspins,system type,operator,saturation value,Nkry
5,intg,1s,496.0,993
5,intg,X1,350.9071133394576,993
5,intg,X2,333.7567698325471,993
5,intg,Z1,236.79967146339146,993
5,intg,Z2,206.92746925289302,993
