t,complexity
350.5,436.71284419992594
351.0,436.12358584872015
351.5,435.5362959656775
352.0,434.99309260334655
352.5,434.432774780994
353.0,433.87225566676284
353.5,433.3271221784558
354.0,432.7918101908645
354.5,432.2294852241268
355.0,431.6574675087911
355.5,431.1633640814535
356.0,430.70647637553486
356.5,430.29595348352206
357.0,429.9623504871669
357.5,429.695193125599
358.0,429.46555230240006
358.5,429.22989911348054
359.0,428.9819512792098
359.5,428.71478519501994
360.0,428.4265458621335
360.5,428.12967247627904
361.0,427.85632520460456
361.5,427.60551203216266
362.0,427.3676384043202
362.5,427.18921085421124
363.0,427.0625573074957
363.5,426.9165337883636
364.0,426.88605878987346
364.5,426.9919780233954
365.0,427.12953290520176
365.5,427.28632680910584
366.0,427.4718813674981
366.5,427.634445204948
367.0,427.70807646120204
367.5,427.7825571784345
368.0,427.78127262797267
368.5,427.65636278529735
369.0,427.4510472333521
369.5,427.20017327195296
370.0,426.892181784866
370.5,426.50956031375193
371.0,426.07337253482666
371.5,425.5986014098564
372.0,425.06843478537354
372.5,424.35436793111313
373.0,423.58528289936845
373.5,422.8964857345514
374.0,422.4437662776548
374.5,422.2248649938765
375.0,422.2134231386374
375.5,422.49093508862313
376.0,422.94503132134986
376.5,423.5159527935462
377.0,424.28227921002537
377.5,425.1717113064195
378.0,426.00784491988526
378.5,426.68754418622194
379.0,427.25175160745806
379.5,427.82801900559747
380.0,428.433396146769
380.5,429.03552457837844
381.0,429.6593117892327
381.5,430.34653215040635
382.0,431.0711803463522
382.5,431.81382840088605
383.0,432.58580545164943
383.5,433.34718776421937
384.0,434.0399718618647
384.5,434.66791233211717
385.0,435.19340271977313
385.5,435.55048408894555
386.0,435.799434552913
386.5,436.03936076614036
387.0,436.2674377924396
387.5,436.5269416122273
388.0,436.848417155444
388.5,437.1810350869899
389.0,437.5192226134611
389.5,437.94896067371405
390.0,438.4092561786632
390.5,438.8376425547897
391.0,439.2247740004816
391.5,439.55041410318813
392.0,439.8098011876717
